DATE,arima3
2021-08-31,3183.4515383262888
2021-09-30,4228.332149184804
2021-10-31,4316.476383738963
2021-11-30,2672.1304908493016
2021-12-31,1919.1051766840271
2022-01-31,2182.0181521645363
2022-02-28,2111.3507917030124
2022-03-31,2457.848817191776
2022-04-30,2324.8726012695533
2022-05-31,2471.5263708294906
2022-06-30,2680.488995850127
2022-07-31,2458.6086812827607
2022-08-31,3115.4743636529006
2022-09-30,2671.1792235073935
2022-10-31,3649.6272122056034
2022-11-30,2275.74615492142
2022-12-31,1768.7005492496883
2023-01-31,2022.223352085554
2023-02-28,1976.6803336120452
2023-03-31,2273.4690039977445
2023-04-30,2051.826314093335
2023-05-31,1988.0660882304223
2023-06-30,2234.7574382952616
2023-07-31,2118.6227411878144
2023-08-31,1657.1201539895917
